Subawardee UEI,Subawardee NAICS-6 (Primary),Subawardee NAICS-6 Description,Parent UEI,Parent Vendor Name,Subawardee Vendor Name,Predominant Place of Performance (by records),Subaward $M,Published Subaward Records,First Subaward,Last Subaward,≤FY12 $M,FY13 $M,FY14 $M,FY15 $M,FY16 $M,FY17 $M,FY18 $M,FY19 $M,FY20 $M,FY21 $M,FY22 $M,FY23 $M,FY24 $M,FY25 $M,FY26 $M,Capability Domain Archetype (D),Capability Domain Archetype Basis,Primary Output Archetype (P),Primary Output Archetype Basis,Role / Description,Source URLs
FNQSY3S2MCM9,333996,Fluid Power Pump and Motor Manufacturing,,"STS OPERATING, INC.","STS OPERATING, INC.",Domestic,0.458437,10,2014-10-17,2025-08-04,,,,,,,,,,,,,,,,,,,,,
TAB4FBLR5UM1,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",,ANIXTER INTERNATIONAL INC.,ANIXTER INC.,Domestic,0.455355,7,2013-05-14,2021-02-04,,,,,,,,,,,,,,,,,,,,,
HA3GWLK3JK58,221310,Water Supply and Irrigation Systems,,"EVOQUA WATER TECHNOLOGIES, LLC",Evoqua Water Technologies LLC,Domestic,0.453718,2,2025-11-18,2025-11-20,,,,,,,,,,,,,,,,,,,,,
LSGYNGHKB863,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",,,DEBAN ENTERPRISES INC,Domestic,0.450605,10,2015-01-14,2024-05-17,,,,,,,,,,,,,,,,,,,,,
GNFJGT9MKJW5,335132,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",,,"CONNECTICUT VALLEY INDUSTRIES, LLC",Domestic,0.450329,4,2013-07-26,2015-04-18,,,,,,,,,,,,,,,,,,,,,
GCDKJTM3RJX6,332312,Fabricated Structural Metal Manufacturing,,"RAPID DEPLOYABLE SYSTEMS, INC","RAPID DEPLOYABLE SYSTEMS, INC",Domestic,0.44389,2,2022-12-22,2022-12-22,,,,,,,,,,,,,,,,,,,,,
QH1NZM6TK6C9,,"n/a (foreign, no SAM record)",,,"TEATR MUZYKI I POEZII P/R E.KAMBUROVOI, GBU",Foreign,0.436857,4,2017-03-10,2021-05-03,,,,,,,,,,,,,,,,,,,,,
HYN4GBTR6TF3,423840,Industrial Supplies Merchant Wholesalers,,GULF COAST MARINE SUPPLY COMPANY,GULF COAST MARINE SUPPLY CO,Domestic,0.424677,7,2015-07-23,2026-01-30,,,,,,,,,,,,,,,,,,,,,
WQAKKCKH9LM8,561612,Security Guards and Patrol Services,,Securitas AB,"SECURITAS CRITICAL INFRASTRUCTURE SERVICES, INC.",Domestic,0.407587,2,2017-11-15,2018-04-05,,,,,,,,,,,,,,,,,,,,,
WVW5FMYALEL6,335313,Switchgear and Switchboard Apparatus Manufacturing,,,"PLAINVILLE ELECTRICAL PRODUCTS COMPANY, THE",Domestic,0.404147,5,2013-07-23,2017-10-03,,,,,,,,,,,,,,,,,,,,,
VJSTD8U7QBD9,332311,Prefabricated Metal Building and Component Manufacturing,,Maui Acquisition Corp.,"SAFARILAND, LLC",Domestic,0.40168,8,2015-04-23,2025-09-30,,,,,,,,,,,,,,,,,,,,,
XTB5UHKL6VE8,336611,Ship Building and Repairing,,,"SEA-TECH PRODUCTS, INC.",Domestic,0.399208,4,2023-10-17,2023-12-19,,,,,,,,,,,,,,,,,,,,,
J2DMF1YRKD96,811210,Electronic and Precision Equipment Repair and Maintenance,,,STANDARD CALIBRATIONS INC,Domestic,0.398447,7,2023-03-09,2025-08-04,,,,,,,,,,,,,,,,,,,,,
MAKYNVTMNZX1,332911,Industrial Valve Manufacturing,,,"TRAC REGULATOR CO., INC.",Domestic,0.39728,4,2025-11-20,2025-11-20,,,,,,,,,,,,,,,,,,,,,
YULJLSW1N2G4,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,,,CYGNUS L.L.C.,Domestic,0.39,1,2022-06-13,2022-06-13,,,,,,,,,,,,,,,,,,,,,
LJLZRNS9DYC6,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",,"WESCO INTERNATIONAL, INC.",ANIXTER INC.,Domestic,0.389475,5,2023-04-05,2025-12-11,,,,,,,,,,,,,,,,,,,,,
JJRDPJY9GQA8,236220,Commercial and Institutional Building Construction,,,FLETCHER CONSTRUCTION CO INC,Domestic,0.38943,12,2014-05-09,2025-11-20,,,,,,,,,,,,,,,,,,,,,
J6DMEL935CD1,221310,WATER SUPPLY AND IRRIGATION SYSTEMS,,XYLEM INC.,XYLEM INC.,Domestic,0.387894,10,2013-07-25,2025-04-25,,,,,,,,,,,,,,,,,,,,,
R1M8JJH7J5W5,331529,Other Nonferrous Metal Foundries (except Die-Casting),,,"JOHNSON BRASS & MACHINE FOUNDRY, INC.",Domestic,0.384402,8,2013-04-05,2018-11-08,,,,,,,,,,,,,,,,,,,,,
CWM4UN76ZQW8,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",,LOCKHEED MARTIN CORP,LOCKHEED MARTIN CORPORATION,Domestic,0.378151,3,2024-09-16,2025-07-18,,,,,,,,,,,,,,,,,,,,,
JLREE96WGKM5,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",,LEONARDO SPA,DRS LAUREL TECHNOLOGIES,Domestic,0.377862,4,2017-06-13,2023-09-28,,,,,,,,,,,,,,,,,,,,"DRS Laurel Technologies in Johnstown, Pennsylvania supplies Aegis combat-system electronics, including TI-24 consoles/displays and Mk 41 Vertical Launching System launch-control and power-supply modules. Those are concrete combat-system construction items distinct from DRS’s propulsion-power and HVAC-coil businesses.","https://www.highergov.com/awardee/laurel-technologies-partnership-10114622/
https://www.sledai.com/tools/public-spend/vendor/laurel-technologies-partnership-jlree96wgkm5/"
KKRXVDJZQ5V5,238990,All Other Specialty Trade Contractors,,KEYSTONE FIRE PROTECTION CO.,KEYSTONE FIRE PROTECTION CO.,Domestic,0.371851,7,2017-07-07,2020-05-27,,,,,,,,,,,,,,,,,,,,,
U8SDJVH8SQ19,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",,CITY ELECTRIC SUPPLY COMPANY,CITY ELECTRIC SUPPLY COMPANY,Domestic,0.36566,5,2025-03-12,2025-07-08,,,,,,,,,,,,,,,,,,,,,
VE86LWM6ABF6,423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",,MASON FOREST PRODUCTS INC,MASON FOREST PRODUCTS INC,Domestic,0.358246,3,2023-06-29,2026-01-29,,,,,,,,,,,,,,,,,,,,,
RYYRAAAGPXB5,339950,Sign Manufacturing,,Laura Stockert,"STOCKERT, LAURA",Domestic,0.352453,5,2016-02-08,2026-01-14,,,,,,,,,,,,,,,,,,,,,
W547TUQXJ8Y4,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",,CARVER PUMP COMPANY,CARVER PUMP COMPANY,Domestic,0.349891,9,2017-06-30,2023-10-10,,,,,,,,,,,,,,,,,,,,,
S1TGQ9L36486,423830,Industrial Machinery and Equipment Merchant Wholesalers,,"TOOL-SMITH COMPANY, INCORPORATED","TOOL-SMITH COMPANY, INCORPORATED",Domestic,0.34818,7,2018-03-23,2024-04-15,,,,,,,,,,,,,,,,,,,,,
J7JGTBNSM619,333248,All Other Industrial Machinery Manufacturing,,,MEGATOR CORPORATION,Domestic,0.337062,10,2013-06-28,2020-06-16,,,,,,,,,,,,,,,,,,,,,
T2VFE1NGR3G5,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,,LEONARDO SPA,"DRS TRAINING & CONTROL SYSTEMS, LLC",Domestic,0.336423,3,2013-08-12,2024-10-07,,,,,,,,,,,,,,,,,,,,"The Fort Walton Beach DRS Training & Control Systems entity develops military training, control, communications, and wireless-electronics products. I found no public evidence identifying a discrete DDG-51 construction component supplied by this UEI.",https://www.highergov.com/awardee/drs-training-control-systems-llc-10107268/
FD69PPCVM2B8,488330,Navigational Services to Shipping,,,PASCAGOULA LAUNCH SERVICE INC,Domestic,0.334975,7,2017-08-01,2026-02-27,,,,,,,,,,,,,,,,,,,,,
JL4THZCMNKR7,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",,,JACKSON PLATING CO.,Domestic,0.334433,6,2015-04-07,2025-02-06,,,,,,,,,,,,,,,,,,,,,
E5NZAXG4MNB7,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",,,MURRAY BENJAMIN ELECTRIC CO LLC,Domestic,0.333718,3,2025-10-28,2025-10-28,,,,,,,,,,,,,,,,,,,,,
UES5F4AAZJK5,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,,"DONALDSON COMPANY, INC.","DONALDSON COMPANY, INC.",Domestic,0.333676,10,2014-03-06,2025-11-18,,,,,,,,,,,,,,,,,,,,,
KXWXRYB3FBW3,333995,Fluid Power Cylinder and Actuator Manufacturing,,FLOWSERVE CORPORATION,FLOWSERVE CORPORATION,Domestic,0.327634,5,2013-06-05,2025-12-03,,,,,,,,,,,,,,,,,,,,,
HJFAW5KCG7N7,339999,All Other Miscellaneous Manufacturing,,,"MAST TECHNOLOGIES, LLC",Domestic,0.32574,4,2023-03-24,2025-10-03,,,,,,,,,,,,,,,,,,,,,
FVFNV3NERP36,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,,,"POWERSTAR, INC.",Domestic,0.323611,5,2013-04-17,2017-04-27,,,,,,,,,,,,,,,,,,,,,
C18KXNHETC95,334417,Electronic Connector Manufacturing,,BERKSHIRE HATHAWAY INC.,"KITCO FIBER OPTICS, INC.",Domestic,0.308467,2,2021-11-18,2024-07-25,,,,,,,,,,,,,,,,,,,,,
ED16VKVTCHC8,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,,ECI DEFENSE GROUP INC,ECI DEFENSE GROUP INC,Domestic,0.299985,1,2023-04-26,2023-04-26,,,,,,,,,,,,,,,,,,,,,
R71XN254HA36,332919,Other Metal Valve and Pipe Fitting Manufacturing,,PREMIER FARNELL LIMITED,AKRON BRASS COMPANY,Domestic,0.298618,6,2015-05-05,2018-03-27,,,,,,,,,,,,,,,,,,,,,
HQYTCMF5RGE4,423690,Other Electronic Parts and Equipment Merchant Wholesalers,,,SHERBURN ELECTRONICS INC.,Domestic,0.293705,7,2023-12-01,2025-09-24,,,,,,,,,,,,,,,,,,,,,
K574V7KEQUC8,336412,Aircraft Engine and Engine Parts Manufacturing,,"CIRCOR INTERNATIONAL, INC.","CIRCOR AEROSPACE, INC.",Domestic,0.293422,1,2013-10-08,2013-10-08,,,,,,,,,,,,,,,,,,,,"This UEI is CIRCOR Aerospace’s Corona, California operation, not a CIRCOR naval-valve or pump business. I found no public evidence tying this aerospace-focused entity to a distinct DDG-51 construction component; a Navy notice for the UEI concerns sanitary-tank hardware but does not establish a DDG-51 shipset role.","https://www.highergov.com/awardee/circor-aerospace-inc-10414129/
https://sam.gov/workspace/contract/opp/c08564d31cce4260aa61720f8d870603/view"
RL6KA2EUSUC8,423690,Other Electronic Parts and Equipment Merchant Wholesalers,,,ABACUS INDUSTRIES INC,Domestic,0.291033,5,2024-05-15,2025-12-05,,,,,,,,,,,,,,,,,,,,,
ZVKEBJ4HQHB8,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",,"HEILIND ELECTRONICS, INC",HEILIND MIL-AERO LLC,Domestic,0.288127,4,2020-09-04,2025-06-26,,,,,,,,,,,,,,,,,,,,,
V6JXCLR8QR37,336412,Aircraft Engine and Engine Parts Manufacturing,,RHINESTAHL CORPORATION,RHINESTAHL CORPORATION,Domestic,0.28622,4,2016-12-12,2017-09-26,,,,,,,,,,,,,,,,,,,,,
FREEMCLKFXE3,336611,Ship Building and Repairing,,GENERAL DYNAMICS CORPORATION,BATH IRON WORKS CORPORATION,Domestic,0.276163,3,2018-03-02,2018-05-11,,,,,,,,,,,,,,,,,,,,,
MUD4KL77FK98,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,,,TURNBULL LLC,Domestic,0.273466,3,2022-02-25,2022-11-28,,,,,,,,,,,,,,,,,,,,,
ZVCNH5GL1Z83,,n/a (no SAM record),,,Core Active Fixed Income,Domestic,0.268016,4,2014-06-24,2016-08-17,,,,,,,,,,,,,,,,,,,,,
E383LRP25MY6,335311,"Power, Distribution, and Specialty Transformer Manufacturing",,,YOUNG ENGINEERING COMPANY INC.,Domestic,0.266495,6,2013-05-27,2021-06-07,,,,,,,,,,,,,,,,,,,,,
GU9WXNREUPZ1,333310,Commercial and Service Industry Machinery Manufacturing,,,FORENTA L.P.,Domestic,0.256637,9,2014-10-28,2023-11-13,,,,,,,,,,,,,,,,,,,,,
GN82WS7LRJ77,334419,Other Electronic Component Manufacturing,,,SPACE MACHINE & ENGINEERING CORP.,Domestic,0.253667,4,2016-12-01,2025-02-28,,,,,,,,,,,,,,,,,,,,,
U4MMR7DR2DR7,336611,Ship Building and Repairing,,,"JAL ENTERPRISES, INC.",Domestic,0.240678,5,2013-10-01,2024-08-13,,,,,,,,,,,,,,,,,,,,,
NK1RB5VKXES9,335313,Switchgear and Switchboard Apparatus Manufacturing,,,"DETROIT SWITCH, INC.",Domestic,0.240592,8,2014-08-15,2022-01-07,,,,,,,,,,,,,,,,,,,,,
EDJPMQN1HSJ1,339113,Surgical Appliance and Supplies Manufacturing,,"MSA SAFETY SALES, LLC","MSA SAFETY SALES, LLC",Domestic,0.230218,3,2022-06-21,2025-03-21,,,,,,,,,,,,,,,,,,,,,
MSSQQ551LG41,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,,,"IMPRES TECHNOLOGY SOLUTIONS, INC.",Domestic,0.22261,3,2016-10-17,2017-10-09,,,,,,,,,,,,,,,,,,,,,
YYVHWZMPP3F8,,n/a (no SAM record),,,"DRS NAVAL POWER SYSTEMS, INC.",Domestic,0.221185,1,2022-03-04,2022-03-04,,,,,,,,,,,,,,,,,,,,"Supplies shipboard power-distribution and power-control equipment for DDG-51 Flight III. Leonardo DRS materials describe marine switchboards and load centers that will be installed on DDG-51 Flight III ships; DRS Naval Power Systems facilities design, test and manufacture naval power distribution, conversion, motor-control, drive and automation/control equipment.",https://www.leonardodrs.com/what-we-do/products-and-services/marine-switchboards-and-loadcenters/; https://www.leonardodrs.com/locations/naval-power-systems-menomonee-falls-wi/; https://craft.co/drs-naval-power-systems; https://www.usaspending.gov/award/CONT_AWD_N0002413C4229_9700_-NONE-_-NONE-
SVHJHMJH65S8,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",,ULTRA ELECTRONICS HOLDINGS PLC,ULTRA ELECTRONICS OCEAN SYSTEMS INC,Domestic,0.218178,5,2013-12-02,2015-10-02,,,,,,,,,,,,,,,,,,,,,
D28HQ4AA2ZL8,331513,Steel Foundries (except Investment),,,"EFFORT FOUNDRY, INC.",Domestic,0.215644,5,2013-04-24,2015-11-23,,,,,,,,,,,,,,,,,,,,,
JZXZSN3BBL98,236220,Commercial and Institutional Building Construction,,SIEMENS AKTIENGESELLSCHAFT,SIEMENS INDUSTRY INC.,Domestic,0.207982,2,2013-07-31,2014-08-13,,,,,,,,,,,,,,,,,,,,,
XECCFU26TTP9,334290,Other Communications Equipment Manufacturing,,,"Moniteq, Inc.",Domestic,0.20684,5,2013-07-24,2018-10-12,,,,,,,,,,,,,,,,,,,,,
DYJZZ9DANLM3,,n/a (no SAM record),,,Ralph & Dorothy Moore,Domestic,0.20424,5,2013-08-27,2015-07-26,,,,,,,,,,,,,,,,,,,,,
PB11V1KH3KV4,541330,Engineering Services,,SOUTHWEST RESEARCH INSTITUTE,SOUTHWEST RESEARCH INSTITUTE,Domestic,0.204,6,2020-02-26,2022-01-13,,,,,,,,,,,,,,,,,,,,,
CYJ3L6SQANB4,334111,Electronic Computer Manufacturing,,SPARTON CORPORATION,"SPARTON AYDIN, LLC",Domestic,0.201844,4,2016-06-22,2018-01-31,,,,,,,,,,,,,,,,,,,,,
PGNTKH2XZAN5,423840,Industrial Supplies Merchant Wholesalers,,,"DEFENSE TECHNOLOGIES, INC.",Domestic,0.199816,3,2015-06-08,2016-07-05,,,,,,,,,,,,,,,,,,,,,
EJ8LYVPT4KR9,335931,Current-Carrying Wiring Device Manufacturing,,THE WHITMOR CO. INC.,THE WHITMOR CO. INC.,Domestic,0.199002,4,2024-08-30,2025-11-07,,,,,,,,,,,,,,,,,,,,,
NB2HLRTJJJQ7,,n/a (no SAM record),,WATTS WATER TECHNOLOGIES INC,WATTS WATER TECHNOLOGIES INC,Domestic,0.192035,7,2014-12-10,2021-06-01,,,,,,,,,,,,,,,,,,,,,
M2XAYNY2P889,334417,Electronic Connector Manufacturing,,"POWELL ELECTRONICS, INC.","POWELL ELECTRONICS, INC.",Domestic,0.18753,2,2022-07-25,2024-03-21,,,,,,,,,,,,,,,,,,,,,
WH4DRDKB7RR8,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",,,SYSTEMS ENGINEERING SUPPORT CO.,Domestic,0.178376,1,2023-11-08,2023-11-08,,,,,,,,,,,,,,,,,,,,,
YNJNTZWVC3H6,336611,Ship Building and Repairing,,BAE SYSTEMS PLC,BAE SYSTEMS LAND & ARMAMENTS L.P.,Domestic,0.174986,2,2021-05-04,2021-06-10,,,,,,,,,,,,,,,,,,,,,
GJEXETZX4N96,314910,Textile Bag and Canvas Mills,,SHIELD TECHNOLOGIES CORPORATION,SHIELD TECHNOLOGIES CORPORATION,Domestic,0.173311,4,2015-10-13,2018-04-24,,,,,,,,,,,,,,,,,,,,,
QF3MD1MU1651,326220,Rubber and Plastics Hoses and Belting Manufacturing,,"J.G.B. ENTERPRISES, INC.","J.G.B. ENTERPRISES, INC.",Domestic,0.169043,4,2016-05-13,2023-05-23,,,,,,,,,,,,,,,,,,,,,
FECPDA1S8WJ1,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,,,D. W. BOYD CORPORATION,Domestic,0.165771,3,2013-09-23,2016-10-04,,,,,,,,,,,,,,,,,,,,,
DLRDDPVKLLA1,331524,Aluminum Foundries (except Die-Casting),,"HEGEDUS ALUMINUM INDUSTRIES, INC","HEGEDUS ALUMINUM INDUSTRIES, INC",Domestic,0.161749,4,2022-08-19,2025-07-02,,,,,,,,,,,,,,,,,,,,,
P3ZZEMCBYSK7,326199,All Other Plastics Product Manufacturing,,"Kestrel Aircraft Company, Inc.","JANSENEERING, INC.",Domestic,0.157868,3,2013-08-12,2015-04-15,,,,,,,,,,,,,,,,,,,,,
L6EMG925NF78,326220,Rubber and Plastics Hoses and Belting Manufacturing,,UIP INTERNATIONAL LLC,KADANT UNAFLEX LLC,Domestic,0.155484,3,2023-06-02,2025-10-14,,,,,,,,,,,,,,,,,,,,,
FNQARYRJJEL5,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,,,"COSPOLICH, INC.",Domestic,0.154114,5,2013-07-26,2021-04-22,,,,,,,,,,,,,,,,,,,,,
ERR4X5JLJWV5,325510,Paint and Coating Manufacturing,,,"NCP COATINGS, LLC",Domestic,0.15312,4,2022-06-14,2022-06-14,,,,,,,,,,,,,,,,,,,,,
G871GBTQ94M7,,n/a (no SAM record),,,Lona Slade,Domestic,0.152523,2,2016-10-03,2017-03-10,,,,,,,,,,,,,,,,,,,,,
HUKGWGAFW4C7,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,,SOUNDOWN CORPORATION,SOUNDOWN CORPORATION,Domestic,0.152383,2,2013-05-10,2014-04-14,,,,,,,,,,,,,,,,,,,,,
UK8DL82MHJG5,336611,Ship Building and Repairing,,PROPULSION CONTROLS ENGINEERING,PROPULSION CONTROLS ENGINEERING,Domestic,0.15,2,2017-05-09,2017-10-31,,,,,,,,,,,,,,,,,,,,,
JN16VPC2PXN4,,"n/a (long-tail, not researched)",,"BAY CITY MARINE, INC.","BAY CITY MARINE, INC.",Domestic,0.15,3,2017-05-09,2018-05-01,,,,,,,,,,,,,,,,,,,,,
XR3UT8BLTKP7,,"n/a (long-tail, not researched)",,"ENERGY MACHINERY, INC.","ENERGY MACHINERY, INC.",Domestic,0.148515,5,2023-03-08,2023-09-28,,,,,,,,,,,,,,,,,,,,,
N16ET1YJ6QZ3,332911,Industrial Valve Manufacturing,,"ROMAC INDUSTRIES, INC.","ROMAC INDUSTRIES, INC.",Domestic,0.146558,4,2013-04-23,2017-04-12,,,,,,,,,,,,,,,,,,,,,
LCKATM42Y1M1,,"n/a (long-tail, not researched)",,"BOEING COMPANY, THE","ARGON ST, INC.",Domestic,0.145473,2,2022-02-08,2023-10-11,,,,,,,,,,,,,,,,,,,,,
X9C7KVWCMQJ6,,"n/a (long-tail, not researched)",,"VALKYRIE ENTERPRISES, LLC","VALKYRIE ENTERPRISES, LLC",Domestic,0.143338,3,2024-05-30,2024-08-13,,,,,,,,,,,,,,,,,,,,,
M647MA6E64V1,,"n/a (long-tail, not researched)",,DEWEY ELECTRONICS CORPORATION,DEWEY ELECTRONICS CORPORATION,Domestic,0.142919,3,2023-03-03,2024-08-01,,,,,,,,,,,,,,,,,,,,,
H12BMH6V6495,,n/a (no SAM record),,,"PIMA VALVE, INC.",Domestic,0.139664,5,2013-10-04,2017-04-28,,,,,,,,,,,,,,,,,,,,,
KB8ALFD8K1X8,,"n/a (long-tail, not researched)",,,Higgins Marine Services Inc,Domestic,0.1353,4,2015-04-15,2017-09-12,,,,,,,,,,,,,,,,,,,,,
Q4LMAMECTR44,,"n/a (long-tail, not researched)",,"CONNECTOR SPECIALISTS, INC.","CONNECTOR SPECIALISTS, INC.",Domestic,0.135154,3,2017-06-16,2018-05-14,,,,,,,,,,,,,,,,,,,,,
DSVCC3S92J21,,"n/a (long-tail, not researched)",,,BOLAND MARINE & INDUSTRIAL LLC,Domestic,0.13254,2,2023-07-11,2023-07-14,,,,,,,,,,,,,,,,,,,,,
K783PK4DZEE3,,"n/a (long-tail, not researched)",,,"ADVANTEC MANUFACTURING USA, INC.",Domestic,0.123935,2,2013-10-11,2013-10-14,,,,,,,,,,,,,,,,,,,,,
ZE1KT2MPBGM3,,"n/a (long-tail, not researched)",,"Alp Industries, Inc.","HARDING COMPANY, INC",Domestic,0.120473,3,2015-07-22,2016-08-08,,,,,,,,,,,,,,,,,,,,,
CQQUMMDARBG3,,"n/a (long-tail, not researched)",,"DEWEY ELECTRONICS CORPORATION, THE",THE DEWEY ELECTRONICS CORPORATION,Domestic,0.119871,4,2016-01-19,2022-08-25,,,,,,,,,,,,,,,,,,,,,
NCG7W2K7P7R6,,"n/a (long-tail, not researched)",,HEICO CORP,DB CONTROL,Domestic,0.118593,1,2025-09-09,2025-09-09,,,,,,,,,,,,,,,,,,,,,
EQ2TN2GMDFT5,,"n/a (long-tail, not researched)",,,"ADVANCED ACOUSTIC CONCEPTS, LLC",Domestic,0.118583,1,2024-06-25,2024-06-25,,,,,,,,,,,,,,,,,,,,,
E83TNKA9JCY6,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,,,AIR SYSTEMS COMPONENTS INC,Domestic,0.117503,4,2022-04-26,2023-09-25,,,,,,,,,,,,,,,,,,,,"Air Systems Components’ Sanford, North Carolina operation includes the Trion air-cleaning business, which makes electrostatic air cleaners, filtration units, and related indoor-air-quality equipment. I found no public source identifying the specific Trion/Air Systems component installed during DDG-51 construction.","https://www.highergov.com/awardee/air-systems-components-inc-10139378/
https://www.airsysco.com/
https://www.trioniaq.com/"
ZQ11WUWJGAA4,,"n/a (long-tail, not researched)",,UNITED TECHNOLOGIES CORPORATION,"KIDDE-FENWAL, INC.",Domestic,0.115667,3,2013-05-23,2013-08-26,,,,,,,,,,,,,,,,,,,,,
F4GNMTCCXGM8,,"n/a (long-tail, not researched)",,TOTALENERGIES SE,"HUTCHINSON INDUSTRIES, INC",Domestic,0.111055,2,2024-09-13,2025-12-09,,,,,,,,,,,,,,,,,,,,,
GGERZB4A1FB3,,"n/a (long-tail, not researched)",,USBID INCORPORATED,"WBPARTS, INC.",Domestic,0.110387,5,2019-02-20,2025-06-03,,,,,,,,,,,,,,,,,,,,,
UDMKPLHU8N48,,"n/a (long-tail, not researched)",,,US TOOL GRINDING INC,Domestic,0.110224,1,2024-07-24,2024-07-24,,,,,,,,,,,,,,,,,,,,,
FMKADN1KAXH6,,"n/a (long-tail, not researched)",,"HOSE-MCCANN TELEPHONE CO., INC.","HOSE-MCCANN TELEPHONE CO., INC.",Domestic,0.10874,4,2016-11-21,2018-03-14,,,,,,,,,,,,,,,,,,,,,
H3R3VV5YN8G4,,"n/a (long-tail, not researched)",,HILL & SMITH HOLDINGS PLC,KW BOATS,Domestic,0.107806,2,2016-06-24,2017-09-27,,,,,,,,,,,,,,,,,,,,,
X51YWDJN2ED6,,"n/a (long-tail, not researched)",,HORIZONS INCORPORATED,HORIZONS INCORPORATED,Domestic,0.104977,3,2022-10-21,2023-10-10,,,,,,,,,,,,,,,,,,,,,
QMXJLLJZ5QY4,,"n/a (long-tail, not researched)",,,TORK SYSTEMS INC,Domestic,0.104314,2,2024-06-06,2024-06-06,,,,,,,,,,,,,,,,,,,,,
K7SAUMHPLDJ9,,"n/a (long-tail, not researched)",,SIVYER STEEL CASTINGS LLC,SIVYER STEEL CASTINGS LLC,Domestic,0.102051,1,2022-12-22,2022-12-22,,,,,,,,,,,,,,,,,,,,,
ZTBRMLGP4JF5,,"n/a (long-tail, not researched)",,SOCIETE DE NEGOCE ET DE PARTICIPATION,"VALLEN DISTRIBUTION, INC.",Domestic,0.101023,2,2016-08-12,2016-09-28,,,,,,,,,,,,,,,,,,,,,
YVDFW51N3N61,,"n/a (long-tail, not researched)",,,"WALDO BROTHERS, INC.",Domestic,0.098347,3,2013-05-06,2016-04-19,,,,,,,,,,,,,,,,,,,,,
MQSPAE7NQQR8,,"n/a (long-tail, not researched)",,,"VITA MOTIVATOR CO., INC.",Domestic,0.097998,2,2022-11-14,2023-08-04,,,,,,,,,,,,,,,,,,,,,
HEUNPCKQLMN5,,"n/a (long-tail, not researched)",,KLUMB LUMBER COMPANY,KLUMB LUMBER COMPANY,Domestic,0.09733,2,2017-04-11,2020-06-11,,,,,,,,,,,,,,,,,,,,,
JAM1MGE5VDJ7,,"n/a (long-tail, not researched)",,"PACIFIC WESTERN LUMBER, INC.","PACIFIC WESTERN LUMBER, INC.",Domestic,0.093482,1,2015-03-23,2015-03-23,,,,,,,,,,,,,,,,,,,,,
XMLNYKT139G8,,"n/a (long-tail, not researched)",,CRESTWOOD TECHNOLOGY GROUP CORP.,CRESTWOOD TECHNOLOGY GROUP CORP.,Domestic,0.092759,2,2017-03-16,2017-11-08,,,,,,,,,,,,,,,,,,,,,
HQEUSUQSKVK7,,"n/a (long-tail, not researched)",,,"ADMARTEC, INC.",Domestic,0.092709,3,2022-07-15,2023-07-13,,,,,,,,,,,,,,,,,,,,,
QLNMVC12KWY3,,"n/a (long-tail, not researched)",,"LEIDOS HOLDINGS, INC.","LEIDOS, INC.",Domestic,0.092468,2,2024-03-21,2024-03-21,,,,,,,,,,,,,,,,,,,,,
JGLLLKELFB57,,"n/a (long-tail, not researched)",,,ITT CORPORATION,Domestic,0.091637,2,2016-07-12,2018-07-12,,,,,,,,,,,,,,,,,,,,,
RHLAM7GSJGJ4,,"n/a (long-tail, not researched)",,SPECTRIS PLC,"HOTTINGER BALDWIN MEASUREMENTS, INC.",Domestic,0.091437,1,2019-10-11,2019-10-11,,,,,,,,,,,,,,,,,,,,,
